scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
53,0.96625006,0.8815565,-0.08469356000000006,1.0,0.83079493,-0.16920506999999996,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
54,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
55,1.0,0.9912993,-0.008700700000000006,0.99999994,0.9875704,-0.012429540000000072,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
57,0.9048548,0.9336519,0.02879710000000002,0.9122926,0.9373598,0.025067199999999956,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
58,0.89710635,0.9151964,0.01809004999999997,0.8530091,0.878852,0.025842900000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
59,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
61,1.0,0.9420145,-0.05798550000000002,1.0,0.91716355,-0.08283644999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
62,0.8812254,0.87494975,-0.006275650000000077,0.8624649,0.87492824,0.012463340000000045,0.925,0.875,-0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
63,0.99089974,0.9743501,-0.016549640000000032,0.98699963,0.9633572,-0.023642429999999992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
64,0.8437161,0.8950782,0.05136210000000008,0.8249515,0.85011166,0.025160160000000098,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
65,1.0,0.9651505,-0.03484949999999998,1.0,0.95021486,-0.049785140000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
66,0.8830496,0.90001434,0.016964740000000034,0.89185643,0.91609186,0.024235429999999947,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
67,1.0,0.9217731,-0.07822689999999999,1.0,0.88824725,-0.11175274999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
68,0.96625006,1.0,0.03374993999999998,1.0,1.0,0.0,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
69,0.831905,0.86565495,0.03374995000000003,0.8080786,0.8080786,0.0,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
71,0.99113715,1.0,0.008862849999999978,0.98733866,0.99999994,0.012661279999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
72,0.83766997,0.93052596,0.09285599,0.9395285,0.96503705,0.025508549999999963,0.6,0.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
73,0.8943836,0.8991972,0.0048136000000000845,0.93483377,0.9738532,0.039019429999999966,0.8,0.725,-0.07500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
74,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
