scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,ego_width,nearest_any,road_clearance,nearest_boundary,boundary_clearance,nearest_median,median_clearance,left_distance,right_distance,min_side_distance,min_side_clearance,num_edge_points,dir30_count,dir30_left_point,dir30_right_point,dir30_point_clearance,dir30_left_line,dir30_right_line,dir30_line_clearance,dir45_count,dir45_left_point,dir45_right_point,dir45_point_clearance,dir45_left_line,dir45_right_line,dir45_line_clearance
302,SAFE,51,5.1000000000000005,1.0,41,4.1000000000000005,2.4900002479553223,1.9822942244017008,0.7372941004240396,1.9822942244017008,0.7372941004240396,1.9822942244017008,0.7372941004240396,,1.9579696655273438,1.9579696655273438,0.7129695415496826,32,16,,1.9579696655273438,0.7129695415496826,,1.960326038622434,0.7153259146447728,16,,1.9579696655273438,0.7129695415496826,,1.960326038622434,0.7153259146447728
302,SAFE,51,5.1000000000000005,0.5,46,4.6000000000000005,2.4900002479553223,1.9863089290211373,0.7413088050434762,1.9863089290211373,0.7413088050434762,1.9863089290211373,0.7413088050434762,,1.9579544067382812,1.9579544067382812,0.7129542827606201,32,16,,1.9579544067382812,0.7129542827606201,,1.960318503623154,0.7153183796454929,16,,1.9579544067382812,0.7129542827606201,,1.960318503623154,0.7153183796454929
400,SAFE,13,1.3,1.0,3,0.30000000000000004,2.4900002479553223,11.818587418890225,10.573587294912564,11.818587418890225,10.573587294912564,11.818587418890225,10.573587294912564,,11.74542236328125,11.74542236328125,10.500422239303589,11,4,,11.74542236328125,10.500422239303589,,11.787723359860701,10.54272323588304,4,,11.74542236328125,10.500422239303589,,11.787723359860701,10.54272323588304
400,SAFE,13,1.3,0.5,8,0.8,2.4900002479553223,11.82018393150093,10.575183807523269,11.82018393150093,10.575183807523269,11.82018393150093,10.575183807523269,,11.639068603515625,11.639068603515625,10.394068479537964,14,4,,11.639068603515625,10.394068479537964,,11.8181048348427,10.573104710865039,4,,11.639068603515625,10.394068479537964,,11.8181048348427,10.573104710865039
509,SAFE,57,5.7,3.0,27,2.7,1.8900001049041748,1.9439038798799586,0.9989038274278712,1.9439038798799586,0.9989038274278712,1.9439038798799586,0.9989038274278712,7.4971923828125,1.7374267578125,1.7374267578125,0.7924267053604126,71,21,7.4971923828125,1.7374267578125,0.7924267053604126,6.610426088680322,0.606194423437911,-0.33880562901417643,22,7.4971923828125,1.7374267578125,0.7924267053604126,0.38107203203199685,0.606194423437911,-0.5639280204200905
509,SAFE,57,5.7,2.0,37,3.7,1.8900001049041748,1.943096755184701,0.9980967027326135,1.943096755184701,0.9980967027326135,1.943096755184701,0.9980967027326135,7.367919921875,1.700439453125,1.700439453125,0.7554394006729126,69,21,7.367919921875,1.700439453125,0.7554394006729126,6.688667554826631,0.3534723095645151,-0.5915277428875723,22,7.367919921875,1.700439453125,0.7554394006729126,0.03885488889480468,0.3534723095645151,-0.9061451635572827
509,SAFE,57,5.7,1.0,47,4.7,1.8900001049041748,2.0049940367337085,1.059993984281621,2.0049940367337085,1.059993984281621,2.0049940367337085,1.059993984281621,7.2529296875,1.686279296875,1.686279296875,0.7412792444229126,66,21,7.2529296875,1.686279296875,0.7412792444229126,6.7752275727418905,0.0006252815086854191,-0.9443747709434019,22,7.2529296875,1.686279296875,0.7412792444229126,0.5849674613267325,0.0006252815086854191,-0.9443747709434019
509,SAFE,57,5.7,0.5,52,5.2,1.8900001049041748,2.0953697275358705,1.150369675083783,2.0953697275358705,1.150369675083783,2.0953697275358705,1.150369675083783,7.1922607421875,1.6334228515625,1.6334228515625,0.6884227991104126,73,19,7.1922607421875,1.6334228515625,0.6884227991104126,6.822544009035334,0.24143942416239228,-0.7035606282896951,20,7.1922607421875,1.6334228515625,0.6884227991104126,0.9354865687228064,0.24143942416239228,-0.7035606282896951
510,FIXED_OFFROAD,66,6.6000000000000005,3.0,36,3.6,1.8900001049041748,4.00274995555402,3.057749903101932,4.00274995555402,3.057749903101932,4.00274995555402,3.057749903101932,5.856632232666016,3.5772247314453125,3.5772247314453125,2.632224678993225,131,3,,3.5772247314453125,2.632224678993225,,2.3758526754265112,1.4308526229744238,37,5.856632232666016,3.5772247314453125,2.632224678993225,0.6380073377469399,1.6013871532960353,-0.30699271470514755
510,FIXED_OFFROAD,66,6.6000000000000005,2.0,46,4.6000000000000005,1.8900001049041748,3.5995056795678484,2.654505627115761,3.5995056795678484,2.654505627115761,3.5995056795678484,2.654505627115761,1.065185546875,0.4794464111328125,0.4794464111328125,-0.4655536413192749,116,23,1.065185546875,0.4794464111328125,-0.4655536413192749,3.2041186227791085,0.05068190930124674,-0.8943181431508407,23,1.065185546875,0.4794464111328125,-0.4655536413192749,3.2041186227791085,0.05068190930124674,-0.8943181431508407
