scenario_index,lead_s,object_index,object_rank,is_collider,distance,ego_speed,object_speed,relative_speed,closing_speed,relative_heading_rad,relative_heading_deg,tcpa_raw,tcpa_clipped,dcpa,predicted_clearance,approaching,interaction_risk
643,2.0,2,1.0,0,6.758144951784924,0.4798137843608856,3.6698970794677734,3.1912363944350077,-2.4402410668103953,0.06465482711791994,3.7044487190047963,-1.6193558017885008,0.0,6.758144951784924,-2.469048023223877,0,0.0
643,2.0,3,4.0,0,15.662504038968141,0.4798137843608856,1.7846648693084717,1.306192483930864,-1.246288283713385,0.06396543979644775,3.664949735034612,-11.441035875444559,0.0,15.662504038968141,6.441736221313477,0,0.0
643,2.0,4,6.0,0,27.336584215249317,0.4798137843608856,1.8413565158843994,1.3633339922032557,-1.3423633582621883,0.07434427738189697,4.2596133249326025,-19.742848362919712,0.0,27.336584215249317,18.1326904296875,0,0.0
643,2.0,5,3.0,0,14.37393713693961,0.4798137843608856,3.424957752227783,2.946949332351344,2.761891190695336,0.08047676086425781,4.610978746405568,4.571270995649341,4.571270995649341,5.013385794437898,-4.31587028503418,1,0.4957380807453314
643,2.0,6,2.0,0,12.990173601384887,0.4798137843608856,2.9482781887054443,2.4710437761438153,1.9013897595246885,0.09493827819824219,5.439562654998155,4.045062414281511,4.045062414281511,8.296629684497148,-0.8505721092224121,1,0.37688131551004284
643,2.0,18,9.0,0,39.75647563494172,0.4798137843608856,0.0912308469414711,0.3888333337362706,0.37891108822628977,0.06669819355010986,3.8215249915679843,99.63644288238044,5.0,37.86443508727615,28.645069122314453,0,0.0
643,2.0,21,5.0,0,21.272016832351127,0.4798137843608856,1.6071399450302124,1.1300698616154117,-1.1300058156087993,0.08965086936950684,5.136616444551409,-18.82256307908266,0.0,21.272016832351127,10.753925323486328,0,0.0
643,2.0,23,7.0,0,28.653504174896778,0.4798137843608856,2.875600814819336,2.397786259297329,2.362107379214914,0.08336544036865234,4.776487890373317,11.772167793446908,5.0,16.968536725770246,7.711921691894531,0,0.0
643,2.0,26,12.0,0,46.56519069517899,0.4798137843608856,0.0,0.47981378436088556,0.47084206622707725,0.06538259983062743,3.7461470238877226,95.23381928943655,5.0,44.21339175134829,34.92047119140625,0,0.0
643,2.0,27,8.0,0,33.196258962423045,0.4798137843608856,0.0,0.47981378436088556,0.47664388715758527,0.07128846645355225,4.084528255748495,68.72863689605049,5.0,30.814269449111215,21.52912712097168,0,0.0
643,2.0,28,10.0,0,42.96120659092174,0.4798137843608856,2.466970920562744,1.9885127631694572,1.97563709564095,0.06748998165130615,3.866891108035209,21.464801506444704,5.0,33.10230071815037,23.860919952392578,0,0.0
643,2.0,29,14.0,0,56.64877086527373,0.4798137843608856,0.0,0.47981378436088556,0.47291212145059436,0.06908082962036133,3.958039982509029,116.36583656864292,5.0,54.28572434962254,44.97707748413086,0,0.0
643,2.0,30,13.0,0,47.91407689833413,0.4798137843608856,2.420032501220703,1.941831655755593,-1.9413893688079955,0.07344973087310791,4.208359585400826,-24.66906102130567,0.0,47.91407689833413,37.610843658447266,0,0.0
643,2.0,43,15.0,0,61.80340511703191,0.4798137843608856,4.318344593048096,3.840259184971865,3.826949691215782,0.08005464076995851,4.586793046554554,16.037773790943426,5.0,42.69854128617152,30.784290313720703,0,0.0
643,2.0,48,16.0,0,64.38780512929193,0.4798137843608856,0.0,0.47981378436088556,0.47415236377857295,0.06854140758514404,3.927133376514721,132.60994655496086,5.0,62.01813187329623,52.72405242919922,0,0.0
643,1.0,1,4.0,1,20.938973705360237,0.027611926198005676,23.48111343383789,23.45360883165484,23.28034142622219,0.08814561367034912,5.0503716459016585,0.8861870141631505,0.8861870141631505,2.540507000970735,-6.740605354309082,1,12.342541461378389
643,1.0,2,1.0,0,8.967513966620608,0.027611926198005676,2.786259174346924,2.758782208165436,-2.4247455867048044,0.09842085838317871,5.639099801410907,-2.8569550425026677,0.0,8.967513966620608,-0.25967884063720703,0,0.0
643,1.0,3,3.0,0,17.049657166297994,0.027611926198005676,1.3264617919921875,1.2989130975660883,-1.2426790578205993,0.06698119640350342,3.8377398606575945,-12.557825330584956,0.0,17.049657166297994,7.828889846801758,0,0.0
643,1.0,4,7.0,0,28.392410420840097,0.027611926198005676,1.4200142621994019,1.3924880611320212,-1.3681213725016426,0.07805013656616211,4.471943415660789,-20.032904976203156,0.0,28.392410420840097,19.18851661682129,0,0.0
643,1.0,5,2.0,0,11.575979861615059,0.027611926198005676,3.4583041667938232,3.430779988404689,3.1099290688466277,0.07942569255828859,4.550756968493566,3.058598772977406,3.058598772977406,4.8879747548770505,-4.441281318664551,1,0.7662568395656341
643,1.0,11,16.0,0,71.84215232401425,0.027611926198005676,25.20556640625,25.233114620323185,24.647246116521192,3.073609892521994,176.1048747111688,2.78103218989021,2.78103218989021,15.39123051927081,6.103557586669922,1,0.9176606759569745
643,1.0,18,9.0,0,39.64416015553554,0.027611926198005676,0.0,0.027611926198005673,0.02701031662214734,0.06974363327026367,3.9960158342943,1404.479773840873,5.0,39.50911896916026,30.289752960205078,0,0.0
643,1.0,21,5.0,0,23.073180170936922,0.027611926198005676,2.592921257019043,2.565418898945329,-2.564894535705488,0.08864021301269531,5.078710100768041,-8.992084722612224,0.0,23.073180170936922,12.55508804321289,0,0.0
643,1.0,23,6.0,0,25.967142218079115,0.027611926198005676,2.9228837490081787,2.895361322470717,2.8523971266314083,0.08015596866607666,4.5925987073490635,8.835448699048717,5.0,11.965967832509467,2.7093539237976074,0,0.0
643,1.0,26,11.0,0,46.52198578133394,0.027611926198005676,0.0,0.027611926198005673,0.02710939595635925,0.05681741237640381,3.255397932022307,1654.1872810719838,5.0,46.38644621188524,37.093528747558594,0,0.0
643,1.0,27,8.0,0,35.17176097774495,0.027611926198005676,0.0,0.027611926198005673,0.027439518246863907,0.07112646102905273,4.075246028666448,1265.8352560555531,5.0,35.03456677291871,25.749422073364258,0,0.0
643,1.0,28,10.0,0,40.83818502409885,0.027611926198005676,1.9565891027450562,1.9290326284963055,1.919101169125338,0.06293809413909911,3.606087164767441,21.06129908012181,5.0,31.257966054440683,22.016582489013672,0,0.0
643,1.0,29,13.0,0,56.61274888735163,0.027611926198005676,0.0,0.027611926198005673,0.02722110578752783,0.06594085693359375,3.7781327997708933,2021.2805569780276,5.0,56.47664810149579,47.167999267578125,0,0.0
643,1.0,30,12.0,0,49.568363563591234,0.027611926198005676,1.5503638982772827,1.522812283827294,-1.5215197430811436,0.06551599502563477,3.753790005568968,-32.522912501509104,0.0,49.568363563591234,39.26512908935547,0,0.0
