scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
341,SAFE,21,2.1,0.5,16,1.6,3,12.944065143252192,8.295341540304548,8.295341540304548,12.944065143252192,-29.113196504262387,0.0,5.0,0,-0.44224595253371657,18,26.307347350696325,21.048902815735943,21.048902815735943,26.307347350696325,5.0,0,14.672122178020246,12.753561275431395,0,0,0,5.0,5.0,5.0
359,FIXED_COLLISION,72,7.2,3.0,42,4.2,13,17.532459636948644,8.337356781023823,-6.172511175374201,3.022591680550621,3.636757564020888,3.636757564020888,3.636757564020888,1,4.67761880839387,2,3.8727001061207003,-5.175342142730971,-5.220373230212283,3.8276690186393876,5.0,0,-5.696442202793242,0.9521379451619172,3,3,5,3.636757564020888,3.636757564020888,3.636757564020888
359,FIXED_COLLISION,72,7.2,2.0,52,5.2,13,11.512080233721491,2.31697737779667,-6.474455592943391,2.7206472629814304,1.8811918974978319,1.8811918974978319,1.8811918974978319,1,5.777778603467908,2,3.8961924301407453,-5.151849818710925,-5.151849818710925,3.8961924301407453,5.0,0,-5.813152705827158,1.322605774232466,3,3,5,1.8811918974978319,1.8811918974978319,1.8811918974978319
359,FIXED_COLLISION,72,7.2,1.0,62,6.2,15,19.916002439720252,10.637213314328582,-6.976414057104947,2.302375068286723,3.8973276810188477,3.8973276810188477,3.8973276810188477,1,5.041874751674447,2,3.967021832691779,-5.081020416159891,-5.3027120422750045,3.745330206576666,5.0,0,-6.139563049689976,1.6737020148299422,3,3,5,3.8973276810188477,3.8973276810188477,3.8973276810188477
359,FIXED_COLLISION,72,7.2,0.5,67,6.7,15,17.03951346453096,7.760724339139289,-6.482641782580011,2.7961473428116594,3.0860267064582145,3.0860267064582145,3.0860267064582145,1,5.37282185290898,3,3.0034045804786342,-6.036014128765036,-6.085838390135625,2.9535803191080445,0.07216178165762577,1,-6.284240086357817,0.39680339244438567,4,4,6,0.07216178165762577,0.07216178165762577,0.07216178165762577
369,FIXED_COLLISION,27,2.7,2.0,7,0.7000000000000001,15,9.176533446939036,3.246238192180922,-4.786509295779382,1.1437859589787327,5.239534394410966,5.0,5.0,0,1.727804258115407,2,8.899028056254261,2.9857965714940686,-1.8440486543807788,4.069182830379414,3.7986094898097473,1,-3.3152789750800804,2.942460641398603,2,4,5,3.7986094898097473,3.7986094898097473,3.6395909555490493
369,FIXED_COLLISION,27,2.7,1.0,17,1.7000000000000002,15,7.705258380874891,1.774963126116777,-4.125323119645032,1.8049721351130816,5.016227128269552,5.0,5.0,0,1.4517915723838717,2,7.516349389285709,1.6031179045255168,-0.9739131649120969,4.939318319848096,4.562195956921563,1,-2.5496181422785646,3.1514099547329355,2,2,6,4.562195956921563,4.562195956921563,2.5831745424405304
369,FIXED_COLLISION,27,2.7,0.5,22,2.2,15,7.29859586115954,1.3683006064014256,-3.572896377950678,2.3573988768074363,5.987816796132867,5.0,5.0,0,1.1222890123063827,2,7.0295582232762985,1.116326738516106,-0.9921410900754744,4.921090394684718,4.42128465830229,1,-2.282518734013076,2.5807552878752036,2,2,4,4.42128465830229,4.42128465830229,2.5676909407442814
395,SAFE,66,6.6000000000000005,3.0,36,3.6,1,39.43157148253584,34.23454292669948,3.4895346087588095,8.686563164595164,3.0005259015631185,3.0005259015631185,3.0005259015631185,1,12.50379752014872,4,26.486303451962044,21.270048350190514,4.738549887863472,9.954804989635003,2.4501706982104268,1,4.114042248311141,1.249015279104663,0,0,0,5.0,5.0,5.0
395,SAFE,66,6.6000000000000005,2.0,46,4.6000000000000005,1,28.440834895830033,23.24380633999368,2.636700171248407,7.833728727084761,2.6078491172459097,2.6078491172459097,2.6078491172459097,1,10.078465263968347,4,17.670969075981173,12.454713974209643,4.437668342029543,9.653923443801073,1.4900614743999119,1,3.537184256638975,1.800968170781136,0,0,0,5.0,5.0,5.0
