scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
245,FIXED_COLLISION,33,3.3000000000000003,3.0,3,0.30000000000000004,-0.05648192763328552,0.06345578283071518,0.05648192763328552,0.0,0.06345578283071518,0.0023839883506298065,0.0002952888607978821,0.0023839883506298065,0.0002952888607978821,0.0,0.0,0.0,4,3.0007861927650223,-2.1560556053327113,-2.1560556053327113,3.0007861927650223,-435.28388482864926,0.0,5.0,0,-0.00232126973509343,1,2.8674380755849636,-1.9564025819810724,-1.9564025819810724,2.8674380755849636,5.0,0,-2.056229093656892,0.19965302335163893,5,6,8,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,2.0,13,1.3,-0.24816586077213287,0.03296409547328949,0.24816586077213287,0.0,0.03296409547328949,0.0028833597898483276,-0.0001569613814353943,0.0028833597898483276,0.0001569613814353943,0.0,0.0,0.0,4,3.0594797180344138,-2.09736208006332,-2.09736208006332,3.0594797180344138,-36.23617654570899,0.0,5.0,0,-0.030569646591876963,1,2.8891929958553733,-1.9346476617106627,-1.9346476617106627,2.8891929958553733,5.0,0,-2.0160048708869915,0.1627144183526572,4,6,9,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,1.0,23,2.3000000000000003,-0.22641494870185852,0.021958038210868835,0.22641494870185852,0.0,0.021958038210868835,0.007526993751525879,-0.0010041743516921997,0.007526993751525879,0.0010041743516921997,0.0,0.0,0.0,4,3.151179877578752,-2.005661920518982,-2.005661920518982,3.151179877578752,-41.10486994041841,0.0,5.0,0,-0.030617838713361486,1,2.9330668592126554,-1.8907737983533806,-1.8907737983533806,2.9330668592126554,5.0,0,-1.9482178594361812,0.11488812216560129,4,6,9,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,0.5,28,2.8000000000000003,-0.10434681922197342,0.07402317970991135,0.10434681922197342,0.0,0.07402317970991135,5.3688883781433105e-05,0.0013757571578025818,5.3688883781433105e-05,0.0013757571578025818,0.0,0.0,0.0,1,2.994418138208423,-1.829422519357613,-1.829422519357613,2.994418138208423,-57.586227662859855,0.0,5.0,0,-0.01747260535967178,10,4.2139039587226605,-0.6936088471417543,-0.8129534237308338,4.094559382133581,5.0,0,-1.3211879715442234,1.0164690956267792,3,5,8,5.0,5.0,5.0
250,SAFE,69,6.9,3.0,39,3.9000000000000004,0.08326271921396255,-0.007501677144318819,0.0,0.08326271921396255,0.007501677144318819,-0.0059057846665382385,-0.0063667829381302,0.0059057846665382385,0.0063667829381302,0.0,0.0,0.0,6,22.79048930487296,13.513221734744432,-1.232728633389124,8.044538936739404,2.5927285749453834,2.5927285749453834,2.5927285749453834,1,7.694960852818851,9,13.924966358134759,4.663611817879284,2.573855820920059,11.835210361175534,0.9295092829411231,1,0.6705635937654675,3.806584454309183,1,1,1,2.5927285749453834,2.5927285749453834,2.5927285749453834
250,SAFE,69,6.9,2.0,49,4.9,0.0504983626306057,0.008655636571347713,0.0,0.0504983626306057,0.008655636571347713,-0.0019553154706954956,0.010241431533358991,0.0019553154706954956,0.010241431533358991,0.0,0.0,0.0,6,15.593560355859402,6.316292785730875,-0.5903574333873802,8.686910136741147,1.6962128699606733,1.6962128699606733,1.6962128699606733,1,6.340141059501925,9,11.892749983262647,2.6313954430071718,2.6313954430071718,11.892749983262647,5.0,0,1.0205190048098958,3.221752876394552,1,1,1,1.6962128699606733,1.6962128699606733,1.6962128699606733
250,SAFE,69,6.9,1.0,59,5.9,-0.024093840271234512,0.02526485174894333,0.024093840271234512,0.0,0.02526485174894333,0.07099070772528648,0.028280345490202308,0.07099070772528648,0.028280345490202308,0.02099070772528648,0.0,0.02099070772528648,1,27.477443386534553,18.124426150587837,-1.9591342258525195,7.393883010094196,5.407861335020764,5.0,5.0,0,4.74006945959234,6,10.091523834737167,0.8142562646086393,-0.634769984666292,8.642497585462236,0.7018703131124205,1,-1.2969521052594057,1.3243642411862275,2,2,2,0.7018703131124205,0.7018703131124205,0.7018703131124205
250,SAFE,69,6.9,0.5,64,6.4,0.0754249095916748,0.0030120667070150375,0.0,0.0754249095916748,0.0030120667070150375,-0.011199072003364563,0.008253203704953194,0.011199072003364563,0.008253203704953194,0.0,0.0,0.0,1,25.319638861523114,15.966621625576398,-1.6158813059715298,7.737135929975186,5.2866557231610845,5.0,5.0,0,4.354932045285305,6,8.445744900613123,-0.8315226695154045,-0.9774198773668665,8.299847692761661,0.21971943298687563,1,-1.2966505916691982,0.6384614286046633,2,2,2,0.21971943298687563,0.21971943298687563,0.21971943298687563
278,NEW_COLLISION,78,7.800000000000001,3.0,48,4.800000000000001,-0.022113168612122536,0.011511895805597305,0.022113168612122536,0.0,0.011511895805597305,-0.022550994472112507,0.0011157803237438202,0.022550994472112507,0.0011157803237438202,0.0,0.0,0.0,3,6.296872039955735,-3.7508112480381186,-7.256948535132376,2.7907347528614777,3.1800221816754672,3.1800221816754672,3.1800221816754672,1,1.591195081124313,1,4.216255077647537,-5.035263729574421,-5.035263729574421,4.216255077647537,5.0,0,-6.146106132353399,2.2216848055579552,4,5,6,3.1800221816754672,3.1800221816754672,1.9653695849639492
278,NEW_COLLISION,78,7.800000000000001,2.0,58,5.800000000000001,-0.17694148421287537,-0.058788105845451355,0.17694148421287537,0.0,0.058788105845451355,0.0007737576961517334,0.0019963793456554413,0.0007737576961517334,0.0019963793456554413,0.0,0.0,0.0,3,4.999937455058066,-5.047745832935788,-8.10735426965864,1.9403290183352149,6.902806604446273,5.0,5.0,0,0.665845578813672,1,4.765330579234362,-4.486188227987595,-4.486188227987595,4.765330579234362,5.0,0,-6.296771248823117,3.621166041671044,3,3,5,4.448203525917113,4.448203525917113,1.0147368565005201
278,NEW_COLLISION,78,7.800000000000001,1.0,68,6.800000000000001,-0.15054860711097717,-0.036348577588796616,0.15054860711097717,0.0,0.036348577588796616,0.005020827054977417,0.004932548850774765,0.005020827054977417,0.004932548850774765,0.0,0.0,0.0,3,4.72738359940729,-5.320299688586564,-5.320299688586564,4.72738359940729,-6.543372056190282,0.0,5.0,0,-0.2780498776487693,5,7.805316444587573,-1.4528398868535977,-4.602501566488074,4.655654764953097,2.404482797430789,1,-4.961400627537319,0.7177981220984897,4,4,5,2.404482797430789,2.404482797430789,0.052000323990206626
278,NEW_COLLISION,78,7.800000000000001,0.5,73,7.300000000000001,-0.1388065069913864,0.0019257080275565386,0.1388065069913864,0.0,0.0019257080275565386,0.002802148461341858,0.006679358193650842,0.002802148461341858,0.006679358193650842,0.0,0.0,0.0,3,5.153606907789262,-4.8940763802045915,-4.8940763802045915,5.153606907789262,-3.3584246920821634,0.0,5.0,0,-1.0039385664674527,5,6.602773194491474,-2.6553831369496974,-4.623897798232702,4.634258533208469,1.4762455041417566,1,-4.758987089218646,0.2701785819718898,4,5,6,1.4762455041417566,1.4762455041417566,1.1000725330546985
