scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel,num_steer_transitions,window_max_abs_delta_steer,window_mean_abs_delta_steer,act_0010,excess_0010,sq_0010,max_excess_0010,act_0020,excess_0020,sq_0020,max_excess_0020,act_0030,excess_0030,sq_0030,max_excess_0030,act_0040,excess_0040,sq_0040,max_excess_0040,act_0050,excess_0050,sq_0050,max_excess_0050,act_0075,excess_0075,sq_0075,max_excess_0075,act_0100,excess_0100,sq_0100,max_excess_0100,act_0150,excess_0150,sq_0150,max_excess_0150
1177,SAFE,69,6.9,0.5,5,0.02029491849243641,0.011340577155351639,0.0,0.0,0.0,0.010147459246218205,0.005289011728018522,0.009279427118599415,0.0026445058640092614,0.5947341322624402,0,0.014638063963502645,0.5535271684381373,0.015369536355137825,0.0036595159908756614,0.006164558464661241,0.0038423840887844563,0.0067889876663684845,4,0.006164558464661241,0.0036595159908756614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,SAFE,32,3.2,3.0,30,0.06849385984241962,0.03205157816410065,0.0,0.0,0.0,0.20548157952725887,0.03082837935847541,0.15789727866649628,0.09248513807542623,0.5590652633206852,2,0.4503154556732625,0.48690574526358,0.09830112010240555,0.015528119161146981,0.14356234669685364,0.003389693796634674,0.011346518993377686,29,0.14356234669685364,0.015528119161146981,0.27586206896551724,0.008715859022762241,0.0008415993639686629,0.13356234669685363,0.10344827586206896,0.006771253953719961,0.0006902845979265136,0.12356234669685363,0.06896551724137931,0.005943829211695441,0.0005639610287934561,0.11356234669685364,0.06896551724137931,0.005254174039281647,0.00045198099628368505,0.10356234669685363,0.06896551724137931,0.0045645188668678545,0.00035379406722219005,0.09356234669685363,0.06896551724137931,0.002840380935833372,0.00016867157215465946,0.06856234669685364,0.034482758620689655,0.0015021498860984012,6.543717412885774e-05,0.04356234669685363,0.0,0.0,0.0,0.0
1235,SAFE,32,3.2,2.0,20,0.0631504064425826,0.03205157816410065,0.0,0.0,0.0,0.12630081288516523,0.010464501031674445,0.03230493515729904,0.02092900206334889,0.6973831816749871,1,0.12778494018130004,0.6105639136012098,0.07609894126653671,0.0067255231674368445,0.015434321481734514,0.0040052074350808795,0.009393259882926941,19,0.015434321481734514,0.0067255231674368445,0.10526315789473684,0.00042959312565232576,1.9459763022544325e-06,0.005434321481734514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,SAFE,32,3.2,1.0,10,0.04751366935670376,0.03205157816410065,0.0,0.0,0.0,0.04751366935670376,0.006636495376005769,0.011764168739318848,0.006636495376005769,0.04566084890157949,1,0.0508777170907706,0.7666351973718968,0.02886420115828514,0.005653079676752289,0.015434321481734514,0.0032071334620316825,0.0065360404551029205,9,0.015434321481734514,0.005653079676752289,0.1111111111111111,0.0006038134979705016,3.281316662982356e-06,0.005434321481734514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,SAFE,32,3.2,0.5,5,0.04116625040769577,0.03205157816410065,0.0,0.0,0.0,0.020583125203847887,0.004860302619636059,0.008283767849206924,0.0024301513098180295,0.33095809559858325,0,0.019027917413040996,0.7829927916932009,0.016734007745981216,0.004756979353260249,0.008280025562271476,0.004183501936495304,0.005719650536775589,4,0.008280025562271476,0.004756979353260249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,SAFE,21,2.1,2.0,20,0.06029988061636686,-0.050889257341623306,0.011833100207149982,0.050889257341623306,0.023666200414299968,0.1442659616470337,0.021477962256176396,0.06750308722257614,0.0429559245123528,0.8157816383978712,1,0.20966394571587443,0.48809085874679053,0.22635792568325996,0.011034944511361812,0.031675048638135195,0.011913575035961051,0.04598694108426571,19,0.031675048638135195,0.011034944511361812,0.5789473684210527,0.003576683345446853,4.181237578419098e-05,0.021675048638135193,0.10526315789473684,0.0006537001942725557,7.203271884047849e-06,0.011675048638135194,0.05263157894736842,8.816045463869453e-05,1.4767304947992497e-07,0.0016750486381351959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,SAFE,21,2.1,1.0,10,-0.004012518748641014,-0.050889257341623306,0.023666200414299964,0.050889257341623306,0.023666200414299968,0.01965368166565895,0.03551636771298945,0.06750308722257614,0.03551636771298945,0.8416470154429769,1,0.12697210535407066,0.35750306113820973,0.12678954377770424,0.014108011706007851,0.031675048638135195,0.014087727086411582,0.04598694108426571,9,0.031675048638135195,0.014108011706007851,0.6666666666666666,0.005889315319557983,7.823407400328878e-05,0.021675048638135193,0.2222222222222222,0.0013800337434642844,1.520690731076768e-05,0.011675048638135194,0.1111111111111111,0.0001861165153483551,3.117542155687305e-07,0.0016750486381351959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,SAFE,21,2.1,0.5,5,-0.04733240082859993,-0.050889257341623306,0.04733240082859993,0.050889257341623306,0.023666200414299968,0.0,0.025160070229321718,0.05451754480600357,0.01258003511466086,0.5529326835735261,1,0.07164642214775085,0.569524773178144,0.0096760094165802,0.017911605536937714,0.031675048638135195,0.00241900235414505,0.005216456949710846,4,0.031675048638135195,0.017911605536937714,0.75,0.008877319348976015,0.00014139169608856725,0.021675048638135193,0.25,0.0029187621595337986,3.407669017570561e-05,0.011675048638135194,0.25,0.00041876215953379897,7.014469850296437e-07,0.0016750486381351959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,NEW_COLLISION,79,7.9,3.0,30,0.02024912861913132,-0.007570270914584398,0.0005655042458480845,0.007570270914584398,0.0016965127375442536,0.06244389859493822,0.016683388732296103,0.13070672750473022,0.05005016619688832,0.3496802086700705,3,0.5662599494680762,1.1313847309250973,0.1445566271431744,0.019526205154071594,0.22052519768476486,0.004984711280799118,0.011120397597551346,29,0.22052519768476486,0.019526205154071594,0.3103448275862069,0.014091478727822158,0.0021775877757493523,0.21052519768476485,0.1724137931034483,0.011812434791876323,0.0019216367641134498,0.20052519768476487,0.10344827586206896,0.01054303148440246,0.0016988931193773955,0.19052519768476486,0.06896551724137931,0.009806706861689173,0.0014957992673293276,0.18052519768476485,0.06896551724137931,0.00911705168927538,0.0013065616818196824,0.17052519768476487,0.06896551724137931,0.007392913758240896,0.0008938125456317753,0.14552519768476485,0.06896551724137931,0.005668775827206414,0.0005672703059955927,0.12052519768476486,0.034482758620689655,0.0024319033684401677,0.0001715104658094884,0.07052519768476487
1294,NEW_COLLISION,79,7.9,2.0,20,0.0243302584043704,-0.005983772687613964,0.0004399721743538976,0.005983772687613964,0.0008799443487077952,0.04954046115744859,0.0064311652182368565,0.019107839092612267,0.012862330436473713,0.5018579004741434,1,0.120197594165802,0.9344930564062258,0.08745432924479246,0.006326189166621158,0.020135184284299612,0.004602859433936446,0.011120397597551346,19,0.020135184284299612,0.006326189166621158,0.21052631578947367,0.0010789255018493061,7.435819963771996e-06,0.010135184284299612,0.05263157894736842,7.114962331558507e-06,9.618310906104327e-10,0.00013518428429961163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,NEW_COLLISION,79,7.9,1.0,10,0.040096927992999555,0.02513040415942669,0.0,0.0,0.0,0.040096927992999555,0.007785552641144023,0.019107839092612267,0.007785552641144023,0.6186559000587625,1,0.07698624348267913,0.9888345393426208,0.05634015239775181,0.008554027053631015,0.020135184284299612,0.006260016933083534,0.011120397597551346,9,0.020135184284299612,0.008554027053631015,0.4444444444444444,0.002277731615015202,1.569784214574088e-05,0.010135184284299612,0.1111111111111111,1.5020476033290181e-05,2.0305323023998027e-09,0.00013518428429961163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,NEW_COLLISION,79,7.9,0.5,5,0.042236975580453875,0.03206237405538559,0.0,0.0,0.0,0.021118487790226938,0.010760885057970881,0.019107839092612267,0.005380442528985441,0.448191412133242,1,0.049511916702613235,0.9202199862498959,0.024704091250896454,0.012377979175653309,0.020135184284299612,0.0061760228127241135,0.011120397597551346,4,0.020135184284299612,0.012377979175653309,0.75,0.004433627014514059,3.340873284689089e-05,0.010135184284299612,0.25,3.379607107490291e-05,4.568697680399556e-09,0.00013518428429961163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,NEW_COLLISION,18,1.8,1.0,10,-0.007974452152848244,-0.03871968388557434,0.020910709723830224,0.03871968388557434,0.020910709723830224,0.01293625757098198,0.052521268400596455,0.2958524227142334,0.052521268400596455,0.9323611083889327,0,0.4608035825076513,0.8773656611247446,0.11968265473842621,0.0512003980564057,0.28307193145155907,0.013298072748714022,0.06364258751273155,9,0.28307193145155907,0.0512003980564057,0.4444444444444444,0.04450892641933427,0.009898555192565035,0.27307193145155906,0.2222222222222222,0.0414921296801832,0.009042840064710834,0.26307193145155905,0.2222222222222222,0.03926990745796097,0.008235219693329392,0.25307193145155904,0.2222222222222222,0.03704768523573875,0.007472043766392396,0.24307193145155906,0.2222222222222222,0.034825463013516536,0.006753312283899844,0.23307193145155908,0.2222222222222222,0.029269907457960972,0.005150928022112904,0.20807193145155906,0.2222222222222222,0.02371435190240542,0.003826321538103745,0.18307193145155906,0.1111111111111111,0.014785770161284342,0.0019675709933609374,0.13307193145155907
