scenario_index,V25_RideFlux,V26_RideFlux,Delta_RideFlux,V25_Progress,V26_Progress,Delta_Progress,V25_Comfort,V26_Comfort,Delta_Comfort,V25_Collision,V26_Collision,Delta_Collision,V25_Overlap,V26_Overlap,Delta_Overlap,V25_OffroadBox,V26_OffroadBox,Delta_OffroadBox,V25_Accuracy,V26_Accuracy,Delta_Accuracy,V25_BasePC,V26_BasePC,Delta_BasePC
71,0.95125,1.0,0.04874999999999996,0.99999994,0.99999994,0.0,0.83750004,1.0,0.16249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.95124997,0.9999999580000001,0.04874998800000008
72,0.84328175,0.9107817,0.06749994999999998,0.95290244,0.95290244,0.0,0.58750004,0.8125,0.22499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.84328172,0.910781708,0.06749998800000001
73,0.8912577,0.8703062,-0.020951500000000012,0.9089394,0.921866,0.01292660000000001,0.85,0.75,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8912575799999999,0.8703061999999999,-0.020951379999999964
74,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0
75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
76,1.0,0.97749996,-0.022500040000000054,1.0,1.0,0.0,1.0,0.925,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,0.9775,-0.022499999999999964
77,0.0,0.90358925,0.90358925,0.5745486,0.86227036,0.28772176000000005,0.625,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,0.58968402,0.903589252,0.313905232
78,0.93951654,0.9764417,0.03692516000000001,0.95645225,0.96634525,0.00989300000000004,0.90000004,1.0,0.09999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.939516587,0.976441675,0.03692508800000005
79,0.8361492,0.8959225,0.05977329999999992,0.8141417,0.8513178,0.037176100000000045,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8361491899999999,0.89592246,0.0597732700000001
80,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
81,0.8666172,0.77559,-0.09102719999999997,0.8683818,0.76512855,-0.10325324999999996,0.8625,0.8,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.86661726,0.775589985,-0.09102727499999996
82,0.8376792,1.0,0.16232080000000004,0.76811314,1.0,0.23188686000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.837679198,1.0,0.162320802
83,0.90641445,0.97374994,0.06733549000000005,0.91452056,0.99999994,0.08547938,0.8875,0.9125,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.906414392,0.973749958,0.06733556600000001
84,0.8656176,0.8837933,0.018175700000000017,0.8562393,0.8339903,-0.022249000000000074,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.86561751,0.8837932099999999,0.018175699999999906
85,0.8526127,0.90512127,0.05250856999999998,0.87516105,0.9126732,0.037512149999999966,0.8,0.8875,0.08749999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8526127349999999,0.9051212399999999,0.05250850500000004
86,0.86584896,0.8822923,0.01644334000000003,0.8083556,0.8318461,0.02349050000000008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8658489199999999,0.88229227,0.01644335000000008
87,0.8368721,0.9171287,0.08025660000000001,0.7991031,0.88161236,0.08250926000000003,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8368721699999999,0.9171286519999999,0.08025648200000002
88,0.87219745,0.897991,0.025793549999999943,0.9513535,0.90248716,-0.04886634000000001,0.6875,0.8875,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8721974499999998,0.8979910119999999,0.025793562000000048
89,0.832757,0.92073005,0.08797305,0.76108146,0.88675725,0.12567579000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.832757022,0.920730075,0.08797305300000002
90,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
91,0.95500004,0.96625006,0.011250019999999972,1.0,1.0,0.0,0.85,0.8875,0.03749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.955,0.9662499999999999,0.011249999999999982
92,0.8991915,0.88113636,-0.01805514000000008,0.8559878,0.8301947,-0.025793100000000013,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8991914599999999,0.8811362899999999,-0.01805517000000001
93,0.85742915,0.0,-0.85742915,0.8445416,0.6472869,-0.1972547,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1,0.8574291199999999,0.7531008299999999,-0.10432828999999999
94,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
95,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
96,0.7023792,1.0,0.2976208,0.62304175,1.0,0.37695825000000005,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.7023792249999999,1.0,0.29762077500000006
97,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
