scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel
2460,NEW_COLLISION,41,4.1000000000000005,1.0,10,-0.33440354466438293,-0.4046288728713989,0.33440354466438293,0.4046288728713989,0.33440354466438293,0.0,0.390872859954834,0.42216578125953674,0.390872859954834,0.9999999974416234,0,0.09875592589378357,0.025265485470784575,0.19234919548034668,0.01097288065486484,0.04331409931182861,0.02137213283114963,0.11691021919250488
2460,NEW_COLLISION,41,4.1000000000000005,0.5,5,-0.3492035210132599,-0.3582783341407776,0.3492035210132599,0.3582783341407776,0.17460176050662995,0.0,0.4126018464565277,0.42216578125953674,0.20630092322826388,0.999999995152712,0,0.029454350471496582,0.01427737203877308,0.0308820903301239,0.0073635876178741455,0.014192730188369751,0.007720522582530975,0.019658148288726807
2473,NEW_COLLISION,27,2.7,2.0,20,0.00888175043510273,-0.048778023570775986,0.009926612116396427,0.048778023570775986,0.019853224232792857,0.03761672510299832,0.23019784912467003,0.5390921235084534,0.46039569824934007,0.13811788124012034,2,1.269449844956398,0.27573017016149237,0.30470563657581806,0.06681314973454726,0.24859821423888206,0.01603713876714832,0.07021945528686047
2473,NEW_COLLISION,27,2.7,1.0,10,0.0007255272939801216,-0.04006577283143997,0.011714237928390502,0.04006577283143997,0.011714237928390504,0.012439765222370626,0.3096332844346762,0.5390921235084534,0.3096332844346762,0.5895720481847606,1,0.7884859442710876,0.25465154470204265,0.17780704237520695,0.08760954936345418,0.24859821423888206,0.01975633804168966,0.07021945528686047
2473,NEW_COLLISION,27,2.7,0.5,5,-0.0197161678224802,-0.04006577283143997,0.0197161678224802,0.04006577283143997,0.0098580839112401,0.0,0.4420959115028381,0.5390921235084534,0.22104795575141908,0.9999999954760949,0,0.20423993468284607,0.09239621016380868,0.0389281939715147,0.05105998367071152,0.10589948296546936,0.009732048492878675,0.02148997038602829
2504,SAFE,41,4.1000000000000005,3.0,30,-0.03354885204850386,-0.0872102826833725,0.03646344538622846,0.0872102826833725,0.10939033615868539,0.00874378001317382,0.018831756602351864,0.0580553375184536,0.0564952698070556,0.990933377535791,0,0.10465352376922965,0.18524298100392442,0.10407656524330378,0.0036087421989389533,0.015861784107983112,0.0035888470773553028,0.0067805100698024035
2504,SAFE,41,4.1000000000000005,2.0,20,-0.05399384554475546,-0.0872102826833725,0.05399384554475546,0.0872102826833725,0.10798769108951092,0.0,0.01675585457123816,0.026286538690328598,0.03351170914247632,0.9999999701596847,0,0.03406468452885747,0.10165009300936943,0.07080617733299732,0.0017928781330977615,0.005535022355616093,0.003726640912263017,0.005863316357135773
2504,SAFE,41,4.1000000000000005,1.0,10,-0.07005800530314446,-0.0872102826833725,0.07005800530314446,0.0872102826833725,0.07005800530314446,0.0,0.024234965816140173,0.026286538690328598,0.024234965816140177,0.9999999587373068,0,0.012723004445433617,0.05249854287797193,0.029630526900291443,0.0014136671606037351,0.004735883325338364,0.003292280766699049,0.005379252135753632
2504,SAFE,41,4.1000000000000005,0.5,5,-0.07925689071416855,-0.0872102826833725,0.07925689071416855,0.0872102826833725,0.03962844535708428,0.0,0.023684627190232278,0.02526765689253807,0.011842313595116139,0.9999999155570483,0,0.0037170015275478363,0.03138745806567879,0.015602439641952515,0.0009292503818869591,0.0014231260865926743,0.0039006099104881287,0.004539273679256439
2513,FIXED_COLLISION,72,7.2,3.0,30,-0.07215262738366922,-0.10607575625181198,0.07215262738366922,0.10607575625181198,0.21645788215100767,0.0,0.04895331189036369,0.05115550756454468,0.1468599356710911,0.999999993190791,0,0.018834766000509262,0.012824985784034338,0.0608307309448719,0.0006494746896727331,0.0024321749806404114,0.0020976114118921346,0.005929596722126007
2513,FIXED_COLLISION,72,7.2,2.0,20,-0.06399332266300917,-0.08008592575788498,0.06399332266300917,0.08008592575788498,0.12798664532601833,0.0,0.04966096021234989,0.05115550756454468,0.09932192042469978,0.9999999899317291,0,0.011476296931505203,0.011554646513968094,0.03470759466290474,0.0006040156279739581,0.0013931915163993835,0.0018267155085739336,0.004516191780567169
2513,FIXED_COLLISION,72,7.2,1.0,10,-0.05527038611471653,-0.06560523062944412,0.05527038611471653,0.06560523062944412,0.05527038611471653,0.0,0.04983402043581009,0.05115550756454468,0.04983402043581009,0.9999999799333874,0,0.00455232709646225,0.009134978404915573,0.020226899534463882,0.0005058141218291388,0.0008523575961589813,0.002247433281607098,0.004516191780567169
2513,FIXED_COLLISION,72,7.2,0.5,5,-0.051041407883167265,-0.053571511059999466,0.051041407883167265,0.053571511059999466,0.025520703941583636,0.0,0.05066734328866005,0.05115550756454468,0.025333671644330025,0.9999999605268445,0,0.0018626190721988678,0.00735234522980127,0.006455428898334503,0.00046565476804971695,0.0007063895463943481,0.0016138572245836258,0.0030377097427845
2573,SAFE,27,2.7,2.0,20,-0.017808951425831766,-0.06330660730600357,0.029596968286205082,0.06330660730600357,0.05919393657241017,0.02357603372074664,0.05565346796065569,0.06445298343896866,0.11130693592131138,0.999999991015834,0,0.05025442689657211,0.04514941142626139,0.13445282727479935,0.00264496983666169,0.008245531469583511,0.007076464593410492,0.014410886913537979
2573,SAFE,27,2.7,1.0,10,-0.052390854060649875,-0.06330660730600357,0.052390854060649875,0.06330660730600357,0.052390854060649875,0.0,0.058000785484910014,0.06445298343896866,0.058000785484910014,0.9999999827588544,0,0.027606766670942307,0.04759722814814713,0.028216592967510223,0.0030674185189935896,0.008245531469583511,0.0031351769963900247,0.006426956504583359
2573,SAFE,27,2.7,0.5,5,-0.061017869412899016,-0.06330660730600357,0.061017869412899016,0.06330660730600357,0.03050893470644951,0.0,0.05801684260368347,0.06445298343896866,0.02900842130184174,0.9999999655272531,0,0.01756952330470085,0.06056697300488958,0.007001377642154694,0.004392380826175213,0.0081181600689888,0.0017503444105386734,0.004931166768074036
2611,NEW_COLLISION,78,7.800000000000001,3.0,30,0.007553257669011752,-0.32040491700172424,0.05211823138718804,0.32040491700172424,0.1563546941615641,0.17901446716859937,0.06014594372051458,0.1924249231815338,0.18043783116154374,0.12616856255939338,1,0.4261770937591791,0.2361905420020942,0.44516508281230927,0.014695761853764797,0.09884105622768402,0.015350520096976182,0.054721400141716
2611,NEW_COLLISION,78,7.800000000000001,2.0,20,-0.04786949660629034,-0.32040491700172424,0.07817734708078206,0.32040491700172424,0.1563546941615641,0.060615700948983435,0.051748559414409104,0.1924249231815338,0.10349711882881821,0.5234457780774466,1,0.4030569810420275,0.38943787199940855,0.4237586408853531,0.021213525318001445,0.09884105622768402,0.022303086362387006,0.054721400141716
2611,NEW_COLLISION,78,7.800000000000001,1.0,10,-0.1563546941615641,-0.32040491700172424,0.1563546941615641,0.32040491700172424,0.1563546941615641,0.0,0.07900694685522466,0.1924249231815338,0.07900694685522468,0.9709874139984552,0,0.3270343414042145,0.41393111654368,0.31537104211747646,0.036337149044912725,0.09884105622768402,0.03504122690194183,0.054721400141716
2611,NEW_COLLISION,78,7.800000000000001,0.5,5,-0.2636682838201523,-0.32040491700172424,0.2636682838201523,0.32040491700172424,0.13183414191007614,0.0,0.14698136746883392,0.1924249231815338,0.07349068373441696,0.9999999863928332,0,0.18850718438625336,0.25650486870204947,0.1406446397304535,0.04712679609656334,0.09884105622768402,0.03516115993261337,0.05341516435146332
2626,SAFE,78,7.800000000000001,3.0,30,0.09553434724609057,0.07197809219360352,0.0,0.0,0.0,0.2866030417382717,0.09686449443300565,0.11902990937232971,0.29059348329901696,0.9999999965587666,0,0.04008202999830246,0.013793161981931628,0.048337869346141815,0.0013821389654587056,0.003837473690509796,0.0016668230809014418,0.002773463726043701
2626,SAFE,78,7.800000000000001,2.0,20,0.087567800283432,0.07197809219360352,0.0,0.0,0.0,0.17513560056686403,0.10449173040688038,0.11902990937232971,0.20898346081376076,0.9999999952149324,0,0.033086150884628296,0.015831946986366602,0.02842005342245102,0.0017413763623488577,0.003837473690509796,0.0014957922853921588,0.002773463726043701
2626,SAFE,78,7.800000000000001,1.0,10,0.08143798261880875,0.07197809219360352,0.0,0.0,0.0,0.08143798261880875,0.11314924657344819,0.11902990937232971,0.11314924657344819,0.9999999911621154,0,0.011754833161830902,0.010388785974206791,0.01615532487630844,0.001306092573536767,0.00212734192609787,0.0017950360973676045,0.002773463726043701
2626,SAFE,78,7.800000000000001,0.5,5,0.07683818489313125,0.07197809219360352,0.0,0.0,0.0,0.038419092446565634,0.11644431352615356,0.11902990937232971,0.058222156763076786,0.9999999828244084,0,0.005412273108959198,0.00929589921930297,0.009486876428127289,0.0013530682772397995,0.0016721561551094055,0.002371719107031822,0.002773463726043701
2644,FIXED_COLLISION,40,4.0,3.0,30,-0.008067509151684742,-0.033020809292793274,0.013166325554872552,0.033020809292793274,0.03949897666461766,0.015296449209563434,0.13468814839919407,0.15091633796691895,0.4040644451975823,0.9999999975251472,0,0.10033874213695526,0.024832361045666197,0.12890897132456303,0.0034599566254122503,0.017710432410240173,0.0044451369422263114,0.02011503279209137
2644,FIXED_COLLISION,40,4.0,2.0,20,-0.017543385818134992,-0.033020809292793274,0.01869330129120499,0.033020809292793274,0.03738660258240998,0.0022998309461399915,0.1410291813313961,0.15091633796691895,0.2820583626627922,0.9999999964546344,0,0.06081265211105347,0.021560308058709617,0.06877824105322361,0.0032006659005817616,0.017710432410240173,0.003619907423853874,0.012312524951994419
2644,FIXED_COLLISION,40,4.0,1.0,10,-0.02410852387547493,-0.027435746043920517,0.02410852387547493,0.027435746043920517,0.024108523875474932,0.0,0.1349500060081482,0.14249581098556519,0.1349500060081482,0.9999999925898485,0,0.039003461599349976,0.02890215603841723,0.019671402871608734,0.00433371795548333,0.017710432410240173,0.0021857114301787484,0.005852650851011276
2644,FIXED_COLLISION,40,4.0,0.5,5,-0.024489612132310868,-0.026432717218995094,0.024489612132310868,0.026432717218995094,0.012244806066155434,0.0,0.13836561143398285,0.14026957750320435,0.06918280571699142,0.9999999855455416,0,0.007890909910202026,0.011405882884286052,0.005090039223432541,0.0019727274775505066,0.004303678870201111,0.0012725098058581352,0.0024492572993040085
