scenario_index,v17_RideFlux,v24_RideFlux,delta_RideFlux,v17_Progress,v24_Progress,delta_Progress,v17_Comfort,v24_Comfort,delta_Comfort,v17_Collision,v24_Collision,delta_Collision,v17_Overlap,v24_Overlap,delta_Overlap,v17_OffroadBox,v24_OffroadBox,delta_OffroadBox,v17_Accuracy,v24_Accuracy,delta_Accuracy,offroad_fixed_by_v24,offroad_new_in_v24,overlap_fixed_by_v24,overlap_new_in_v24,collision_fixed_by_v24,collision_new_in_v24
65,0.95500004,0.99416655,0.03916650999999993,1.0,0.99166656,-0.008333440000000025,0.85,1.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
66,0.8135361,0.85404426,0.040508160000000015,0.7818373,0.90399176,0.12215446000000008,0.8875,0.7375,-0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
67,0.9054125,0.8967333,-0.008679199999999998,0.9130892,0.90069044,-0.012398760000000064,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
68,1.0,0.90625,-0.09375,1.0,1.0,0.0,1.0,0.6875,-0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
69,0.77456814,0.79724497,0.022676830000000092,0.7315259,0.8335642,0.10203830000000003,0.875,0.71250004,-0.16249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
71,0.802405,0.80364573,0.0012407299999999122,0.83557844,0.81056535,-0.02501309000000007,0.725,0.7875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
72,0.85374993,0.8714861,0.01773617000000005,0.99999994,0.977123,-0.022876940000000068,0.5125,0.625,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
73,0.8897421,0.9025076,0.012765499999999985,0.8960601,0.9089394,0.012879299999999927,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
74,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,False,False,False,False,False,False
75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
