scenario_index,episode_length_v17,accuracy_v17,at_fault_collision_v17,comfort_v17,distance_into_oncoming_traffic_v17,nuplan_driving_direction_compliance_v17,log_divergence_v17,offroad_v17,offroad_in_box_v17,distance_on_multiple_lanes_v17,time_on_multiple_lanes_v17,multiple_lanes_score_v17,overlap_v17,progress_ratio_v17,making_progress_v17,run_red_light_v17,sdc_off_route_v17,sdc_progression_v17,sdc_wrongway_v17,max_overspeed_m_per_s_v17,max_overspeed_km_per_h_v17,nuplan_speed_compliance_v17,min_ttc_v17,average_ttc_v17,ttc_within_bound_v17,nuplan_aggregate_score_v17,vmax_aggregate_score_v17,rideflux_aggregate_score_v17,episode_length_v25,accuracy_v25,at_fault_collision_v25,comfort_v25,distance_into_oncoming_traffic_v25,nuplan_driving_direction_compliance_v25,log_divergence_v25,offroad_v25,offroad_in_box_v25,distance_on_multiple_lanes_v25,time_on_multiple_lanes_v25,multiple_lanes_score_v25,overlap_v25,progress_ratio_v25,making_progress_v25,run_red_light_v25,sdc_off_route_v25,sdc_progression_v25,sdc_wrongway_v25,max_overspeed_m_per_s_v25,max_overspeed_km_per_h_v25,nuplan_speed_compliance_v25,min_ttc_v25,average_ttc_v25,ttc_within_bound_v25,nuplan_aggregate_score_v25,vmax_aggregate_score_v25,rideflux_aggregate_score_v25,d_RideFlux,d_Progress,d_Comfort,d_Collision,d_Overlap,d_OffroadBox,d_Accuracy,V25_PrimaryFailure
30,80,1,0.0,0.8875,0.0,1.0,9.686007,1.0,0.0,0.0,0.0,1.0,0.0,0.7866564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.81690943,80,1,0.0,1.0,0.0,1.0,6.1013374,1.0,0.0,25.446814,2.2,1.0,0.0,0.87437516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.91206264,0.09515320999999999,0.08771876,0.11250000000000004,0.0,0.0,0.0,0,PASS
31,1,0,1.0,1.0,0.0,1.0,0.0031075526,1.0,0.0,0.005977977,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,1.0,0.0144241005,1.0,0.0,0.02857545,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0,OVERLAP+AT_FAULT
32,80,1,0.0,1.0,0.0,1.0,0.07815371,0.0,0.0,0.07030959,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,80,1,0.0,1.0,0.0,1.0,2.2789335,0.0,0.0,5.219429,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
33,80,1,0.0,1.0,0.0,1.0,0.014382714,1.0,0.0,0.15923132,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,80,1,0.0,0.825,0.0,1.0,3.567587,1.0,0.0,4.4847717,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.90375,1.0,0.0,0.0,0.94750005,-0.05249994999999996,0.0,-0.17500000000000004,0.0,0.0,0.0,0,PASS
34,80,1,0.0,0.8625,0.0,1.0,1.8940934,1.0,0.0,56.46833,7.7,0.0,0.0,0.92701626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,4.9425,1.0,0.0,0.0,0.90766144,80,1,0.0,1.0,0.0,1.0,4.8537173,1.0,0.0,46.72776,7.300000000000001,0.0,0.0,0.78146434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.84702504,-0.060636400000000035,-0.14555192000000006,0.13749999999999996,0.0,0.0,0.0,0,PASS
35,80,1,0.0,0.8875,0.0,1.0,6.686815,1.0,0.0,72.94862,8.0,0.0,0.0,0.82434976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,4.645,1.0,0.0,0.0,0.8432948,80,1,0.0,0.7,0.0,1.0,19.480179,1.0,0.0,93.432785,8.0,0.0,0.0,0.8691468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,4.67875,1.0,0.0,0.0,0.81840277,-0.024892030000000065,0.044797039999999955,-0.1875,0.0,0.0,0.0,0,PASS
36,80,1,0.0,1.0,0.0,1.0,0.0151578905,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,80,1,0.0,1.0,0.0,1.0,0.78396815,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
37,1,0,0.0,0.0,0.0,1.0,0.25058773,1.0,1.0,2.3347082,0.1,1.0,0.0,0.013706785,0.0,0.0,0.0,0.0,0.0,3.230856,11.631081,1.0,5.0,5.0,1.0,0.0,0.0,0.0,80,1,0.0,0.58750004,0.0,1.0,21.81846,1.0,0.0,192.61162,8.0,0.0,0.0,0.9614127,1.0,0.0,0.0,0.0,0.0,6.827997,24.58079,0.0,5.0,5.0,1.0,0.0,0.0,0.8492389,0.8492389,0.947705915,0.58750004,0.0,0.0,-1.0,1,PASS
38,80,1,0.0,0.925,0.0,1.0,3.214991,1.0,0.0,36.738785,6.9,0.0,0.0,0.8188209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,4.8562503,1.0,0.0,0.0,0.8506746,80,1,0.0,0.925,0.0,1.0,1.8468148,1.0,0.0,36.551044,6.4,0.0,0.0,0.92087644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.9875,1.0,0.0,0.0,0.92211354,0.07143894000000006,0.10205554000000006,0.0,0.0,0.0,0.0,0,PASS
39,80,1,0.0,0.875,0.0,1.0,13.089813,0.0,0.0,116.98326,6.2,0.0,0.0,0.79978323,1.0,0.0,0.0,0.0,0.0,2.2386208,8.059034,0.87118894,5.0,5.0,1.0,0.8896045,0.7491406,0.82234824,80,1,0.0,0.925,0.0,1.0,5.048061,0.0,0.0,169.06985,8.0,0.0,0.0,0.93746334,1.0,0.0,0.0,0.0,0.0,2.2464466,8.087208,0.53652906,5.0,5.0,1.0,0.8552146,0.7201807,0.9337244,0.11137616000000006,0.13768011000000002,0.050000000000000044,0.0,0.0,0.0,0,PASS
