scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2,risk_relative_x,risk_relative_y,risk_relative_vx,risk_relative_vy,risk_closest_x,risk_closest_y
181,SAFE,76,7.6000000000000005,0.5,71,7.1000000000000005,-0.07945390045642853,-0.3444880247116089,0.07945390045642853,0.0,0.3444880247116089,0.003597646951675415,0.007508695125579834,0.003597646951675415,0.007508695125579834,0.0,0.0,0.0,2,16.35984291869671,11.185032775060264,11.185032775060264,16.35984291869671,-9.27972968146571,0.0,5.0,0,-1.1791831011125724,7,17.988583878861505,12.772608385305205,12.095547921860671,17.31152341541697,3.390698814638555,1,11.640290348460468,0.9105151468004067,0,0,0,5.0,5.0,5.0,-13.379745483398438,-9.4141845703125,-1.4418249130249023,6.512824946014462e-09,-13.379745483398438,-9.4141845703125
217,SAFE,37,3.7,3.0,7,0.7000000000000001,0.021877320483326912,-0.013350490480661392,0.0,0.021877320483326912,0.013350490480661392,-0.002618543803691864,0.0027848128229379654,0.002618543803691864,0.0027848128229379654,0.0,0.0,0.0,4,6.144171620971121,-3.107100766481314,-4.342983973468866,4.908288413983569,11.22234740168921,5.0,5.0,0,0.28603776426042415,17,21.445205600925696,12.004051668194156,4.351853986223311,13.793007918954851,0.6040912648554546,1,0.004435006377222717,8.694837959692176,1,1,1,5.0,5.0,5.0,-4.70611572265625,3.950103759765625,0.39490532875061035,0.025570230313405773,-2.7315890789031982,4.077954911332654
217,SAFE,37,3.7,2.0,17,1.7000000000000002,0.023427695035934448,0.013704163953661919,0.0,0.023427695035934448,0.013704163953661919,0.0011406447738409042,0.0031123384833335876,0.0011406447738409042,0.0031123384833335876,0.0,0.0,0.0,4,5.8672846520879975,-3.383987735364437,-4.583435725827388,4.667836661625047,8.896415309984295,5.0,5.0,0,0.2995450851798578,10,22.10630496356703,12.923334047583985,1.1820836893844895,10.365054605367535,0.5863598152352263,1,-1.7006760182214493,5.765519415211878,1,1,2,5.0,5.0,0.5863598152352263,-4.28387451171875,4.0091705322265625,0.4430840015411377,0.035069593258278076,-2.0684545040130615,4.184518498517953
217,SAFE,37,3.7,1.0,27,2.7,0.00907311961054802,0.02972005121409893,0.0,0.00907311961054802,0.02972005121409893,-0.003145805560052395,0.0029474515467882156,0.003145805560052395,0.0029474515467882156,0.0,0.0,0.0,4,5.873756485467462,-3.3775159019849728,-3.3775159019849728,5.873756485467462,-23.382832098188565,0.0,5.0,0,-0.07577652492510217,34,22.20538419768014,15.531246218236792,0.5569369835505151,7.231074962993864,5.0,0,-1.4102894592172288,3.934452885535488,1,3,3,5.0,1.9344375034055077,1.9344375034055077,-4.19879150390625,4.107452392578125,-0.13479256629943848,-0.02942773668203813,-4.19879150390625,4.107452392578125
217,SAFE,37,3.7,0.5,32,3.2,-0.029937224462628365,0.031112035736441612,0.029937224462628365,0.0,0.031112035736441612,-0.007761795073747635,0.0006993524730205536,0.007761795073747635,0.0006993524730205536,0.0,0.0,0.0,4,5.852398473833138,-3.3988739136192967,-3.3988739136192967,5.852398473833138,-8.182143048281231,0.0,5.0,0,-0.2324132049215919,34,20.681275184996274,14.007137205552926,-0.6552459717760843,6.018892007667264,5.0,0,-2.0270599426976905,2.7436279418432123,2,3,3,5.0,1.4914825196844406,1.4914825196844406,-4.12591552734375,4.1505889892578125,-0.4014320373535156,-0.0713392704203315,-4.12591552734375,4.1505889892578125
263,SAFE,57,5.7,3.0,27,2.7,-0.08271957188844681,-0.00419954676181078,0.08271957188844681,0.0,0.00419954676181078,0.0013555139303207397,0.004464232362806797,0.0013555139303207397,0.004464232362806797,0.0,0.0,0.0,2,33.96264015484967,28.03285080201882,5.2384611570195645,11.168250509850417,7.4163844936189465,5.0,5.0,0,4.569270043463324,23,13.712527362809281,7.779741912501239,5.685693548467105,11.618478998775148,0.6417040808062863,1,5.462077352743335,0.4472323914475407,0,0,0,5.0,5.0,5.0,-33.864654541015625,-2.5780029296875,4.539751052856445,0.5614319257035056,-11.165899276733398,0.2291566988300282
263,SAFE,57,5.7,2.0,37,3.7,-0.0410727821290493,0.03373201563954353,0.0410727821290493,0.0,0.03373201563954353,-0.020972931757569313,0.05161842331290245,0.020972931757569313,0.05161842331290245,0.0,0.02161842331290245,0.02161842331290245,39,26.21313674253905,22.447397907800493,1.5271524681100779,5.292891302848635,3.3030168120794694,3.3030168120794694,3.3030168120794694,1,7.612558681961772,2,29.670092932264698,23.740303579433846,1.8684971652078337,7.798286518038686,5.0,0,1.6978248166589558,0.34134469709775583,0,0,2,5.0,5.0,3.3030168120794694,25.213104248046875,-7.17132568359375,-7.751501441001892,0.5730638882295267,-0.390235330440607,-5.278486026375994
263,SAFE,57,5.7,1.0,47,4.7,-0.009878106415271759,0.0070068868808448315,0.009878106415271759,0.0,0.0070068868808448315,0.0030151382088661194,-0.007857118267565966,0.0030151382088661194,0.007857118267565966,0.0,0.0,0.0,2,25.53567412099494,19.60588476816409,-0.49766015583740497,5.432129196993447,6.039346745691094,5.0,5.0,0,4.160088507102744,39,19.008157438087398,15.242418603348842,4.557088627488159,8.322827462226716,2.2809975610306337,1,2.029714235825377,5.0547487833255635,1,1,1,5.0,5.0,5.0,-25.535430908203125,0.1114501953125,4.1577253341674805,-0.5505277561920323,-4.746804237365723,-2.6411885856476616
263,SAFE,57,5.7,0.5,52,5.2,0.04180186986923218,-0.013706101104617119,0.0,0.04180186986923218,0.013706101104617119,0.004190627485513687,-0.002740255557000637,0.004190627485513687,0.002740255557000637,0.0,0.0,0.0,2,23.53251075820372,17.60272140537287,-1.820529004221573,4.109260348609279,5.874465947963658,5.0,5.0,0,3.9717586534845464,39,15.77211299130649,12.006374156567933,4.751509554642516,8.517248389381074,1.7633389390562895,1,1.4654902752104717,6.572038558864089,1,1,1,5.0,5.0,5.0,-23.532196044921875,-0.1217041015625,3.9736099243164062,-0.3476834585177011,-3.6641464233398438,-1.8601213941510055
278,FIXED_COLLISION,78,7.800000000000001,3.0,48,4.800000000000001,-0.05576161667704582,-0.0005745140952058136,0.05576161667704582,0.0,0.0005745140952058136,0.008150842040777206,-0.0010034960869234055,0.008150842040777206,0.0010034960869234055,0.0,0.0,0.0,11,9.654791229947225,0.3356219194237262,-6.104914216315768,3.214255094207731,4.3187915263478605,4.3187915263478605,4.3187915263478605,1,1.9877568446693463,3,7.561560083729345,-2.4861232042645085,-5.463750388856074,4.58393289913778,5.0,0,-5.784332302585921,0.6411638274596942,5,6,6,4.3187915263478605,2.0625225801724656,2.0625225801724656,-8.8546142578125,3.848480224609375,2.102754831314087,-0.1487066082563615,0.22674548965380303,3.20624738495987
